Lot Frontage,Lot Area,Land Slope,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Val,Yr Sold,SalePrice,MS Zoning_A (agr),MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Street_Grvl,Street_Pave,Alley_Grvl,Alley_No alley access,Alley_Pave,Lot Shape_IR1,Lot Shape_IR2,Lot Shape_IR3,Lot Shape_Reg,Land Contour_Bnk,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Utilities_AllPub,Utilities_NoSeWa,Utilities_NoSewr,Lot Config_Corner,Lot Config_CulDSac,Lot Config_FR2,Lot Config_FR3,Lot Config_Inside,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition 1_Artery,Condition 1_Feedr,Condition 1_Norm,Condition 1_PosA,Condition 1_PosN,Condition 1_RRAe,Condition 1_RRAn,Condition 1_RRNe,Condition 1_RRNn,Condition 2_Artery,Condition 2_Feedr,Condition 2_Norm,Condition 2_PosA,Condition 2_PosN,Condition 2_RRAe,Condition 2_RRAn,Condition 2_RRNn,Bldg Type_1Fam,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,House Style_1.5Fin,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Roof Style_Flat,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Exterior 1st_AsbShng,Exterior 1st_AsphShn,Exterior 1st_BrkComm,Exterior 1st_BrkFace,Exterior 1st_CBlock,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_ImStucc,Exterior 1st_MetalSd,Exterior 1st_Plywood,Exterior 1st_Stone,Exterior 1st_Stucco,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Exterior 2nd_AsbShng,Exterior 2nd_AsphShn,Exterior 2nd_Brk Cmn,Exterior 2nd_BrkFace,Exterior 2nd_CBlock,Exterior 2nd_CmentBd,Exterior 2nd_HdBoard,Exterior 2nd_ImStucc,Exterior 2nd_MetalSd,Exterior 2nd_Plywood,Exterior 2nd_Stone,Exterior 2nd_Stucco,Exterior 2nd_VinylSd,Exterior 2nd_Wd Sdng,Exterior 2nd_Wd Shng,Mas Vnr Type_BrkCmn,Mas Vnr Type_BrkFace,Mas Vnr Type_None,Mas Vnr Type_Stone,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Central Air_N,Central Air_Y,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,Garage Type_2Types,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_No Garage,Paved Drive_N,Paved Drive_P,Paved Drive_Y,Misc Feature_Gar2,Misc Feature_No Misc,Misc Feature_Othr,Misc Feature_Shed,Misc Feature_TenC,Sale Type_COD,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_WD ,MS SubClass_20,MS SubClass_30,MS SubClass_40,MS SubClass_45,MS SubClass_50,MS SubClass_60,MS SubClass_70,MS SubClass_75,MS SubClass_80,MS SubClass_85,MS SubClass_90,MS SubClass_120,MS SubClass_150,MS SubClass_160,MS SubClass_180,MS SubClass_190,Mo Sold_1,Mo Sold_2,Mo Sold_3,Mo Sold_4,Mo Sold_5,Mo Sold_6,Mo Sold_7,Mo Sold_8,Mo Sold_9,Mo Sold_10,Mo Sold_11,Mo Sold_12,TotalBath,Total SF,AllPorchSF,Total SFs2,Total SFs3,Total SFsq,Overall Quals2,Overall Quals3,Overall Qualsq,Gr Liv Areas2,Gr Liv Areas3,Gr Liv Areasq,Exter Quals2,Exter Quals3,Exter Qualsq,Kitchen Quals2,Kitchen Quals3,Kitchen Qualsq,Total Bsmt SFs2,Total Bsmt SFs3,Total Bsmt SFsq,Garage Areas2,Garage Areas3,Garage Areasq,1st Flr SFs2,1st Flr SFs3,1st Flr SFsq,Garage Carss2,Garage Carss3,Garage Carssq,TotalBaths2,TotalBaths3,TotalBathsq,Year Builts2,Year Builts3,Year Builtsq,Garage Finishs2,Garage Finishs3,Garage Finishsq,Year Remod/Adds2,Year Remod/Adds3,Year Remod/Addsq,Fireplace Qus2,Fireplace Qus3,Fireplace Qusq,Full Baths2,Full Baths3,Full Bathsq,Roof Matl_Metal,Roof Matl_Roll,Exterior 1st_PreCast,Exterior 2nd_Other,Exterior 2nd_PreCast,Mas Vnr Type_CBlock,Heating_Floor,Sale Type_VWD
69.05520046484602,13517,0,6,8,43,14,289.0,3,2,3,3,1,6,533.0,0,0.0,192.0,725.0,4,725,754,0,1479,0.0,0.0,2,1,3,1,3,6,7,0,0,1976.0,2,2.0,475.0,3,3,0,44,0,0,0,0,0,0,0,9,130500,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.5,3683.0,44,13564489.0,49958012987.0,60.687725282795036,36,216,2.449489742783178,2187441,3235225239,38.45776904605882,9,27,1.7320508075688772,9,27,1.7320508075688772,525625.0,381078125.0,26.92582403567252,225625.0,107171875.0,21.79449471770337,525625,381078125,26.92582403567252,4.0,8.0,1.4142135623730951,6.25,15.625,1.5811388300841898,1849,79507,6.557438524302,4,8,1.4142135623730951,196,2744,3.7416573867739413,0,0,0.0,4,8,1.4142135623730951,0,0,0,0,0,0,0,0
43.0,11492,0,7,5,23,22,132.0,3,2,4,3,1,6,637.0,0,0.0,276.0,913.0,4,913,1209,0,2122,1.0,0.0,2,1,4,1,3,8,7,1,3,1997.0,2,2.0,559.0,3,3,0,74,0,0,0,0,0,0,0,10,220000,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.5,5157.0,74,26594649.0,137148604893.0,71.81225522151495,49,343,2.6457513110645907,4502884,9555119848,46.06517122512408,9,27,1.7320508075688772,9,27,1.7320508075688772,833569.0,761048497.0,30.215889859476256,312481.0,174676879.0,23.643180835073778,833569,761048497,30.215889859476256,4.0,8.0,1.4142135623730951,12.25,42.875,1.8708286933869707,529,12167,4.795831523312719,4,8,1.4142135623730951,484,10648,4.69041575982343,9,27,1.7320508075688772,4,8,1.4142135623730951,0,0,0,0,0,0,0,0
68.0,7922,0,5,7,66,12,0.0,2,3,3,3,1,6,731.0,0,0.0,326.0,1057.0,2,1057,0,0,1057,1.0,0.0,1,0,3,1,3,5,7,0,0,1953.0,1,1.0,246.0,3,3,0,52,0,0,0,0,0,0,0,9,109000,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,3171.0,52,10055241.0,31885169211.0,56.31163290120435,25,125,2.23606797749979,1117249,1180932193,32.51153641401772,4,8,1.4142135623730951,9,27,1.7320508075688772,1117249.0,1180932193.0,32.51153641401772,60516.0,14886936.0,15.684387141358123,1117249,1180932193,32.51153641401772,1.0,1.0,1.0,4.0,8.0,1.4142135623730951,4356,287496,8.12403840463596,1,1,1.0,144,1728,3.4641016151377544,0,0,0.0,1,1,1.0,0,0,0,0,0,0,0,0
73.0,9802,0,5,5,13,12,0.0,2,2,0,0,0,0,0.0,0,0.0,384.0,384.0,3,744,700,0,1444,0.0,0.0,2,1,3,1,2,7,7,0,0,2007.0,3,2.0,400.0,3,3,100,0,0,0,0,0,0,0,0,9,174000,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.5,3272.0,0,10705984.0,35029979648.0,57.201398584300364,25,125,2.23606797749979,2085136,3010936384,38.0,4,8,1.4142135623730951,4,8,1.4142135623730951,147456.0,56623104.0,19.595917942265423,160000.0,64000000.0,20.0,553536,411830784,27.27636339397171,4.0,8.0,1.4142135623730951,6.25,15.625,1.5811388300841898,169,2197,3.605551275463989,9,27,1.7320508075688772,144,1728,3.4641016151377544,0,0,0.0,4,8,1.4142135623730951,0,0,0,0,0,0,0,0
82.0,14235,0,6,8,119,26,0.0,2,2,0,0,0,0,0.0,0,0.0,676.0,676.0,2,831,614,0,1445,0.0,0.0,2,0,3,1,2,6,7,0,0,1957.0,1,2.0,484.0,3,3,0,59,0,0,0,0,0,0,0,9,138500,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0,3566.0,59,12716356.0,45346525496.0,59.715994507334464,36,216,2.449489742783178,2088025,3017196125,38.01315561749642,4,8,1.4142135623730951,4,8,1.4142135623730951,456976.0,308915776.0,26.0,234256.0,113379904.0,22.0,690561,573856191,28.827070610799147,4.0,8.0,1.4142135623730951,4.0,8.0,1.4142135623730951,14161,1685159,10.908712114635714,1,1,1.0,676,17576,5.0990195135927845,0,0,0.0,4,8,1.4142135623730951,0,0,0,0,0,0,0,0
137.0,16492,0,6,6,53,17,0.0,3,2,3,3,1,5,247.0,3,713.0,557.0,1517.0,4,1888,0,0,1888,0.0,0.0,2,1,2,1,3,6,4,1,4,1966.0,3,2.0,578.0,3,3,0,0,0,0,0,0,0,0,0,9,190000,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.5,5293.0,0,28015849.0,148287888757.0,72.75300681071539,36,216,2.449489742783178,3564544,6729859072,43.45112196480086,9,27,1.7320508075688772,9,27,1.7320508075688772,2301289.0,3491055413.0,38.948684188300895,334084.0,193100552.0,24.041630560342615,3564544,6729859072,43.45112196480086,4.0,8.0,1.4142135623730951,6.25,15.625,1.5811388300841898,2809,148877,7.280109889280518,9,27,1.7320508075688772,289,4913,4.123105625617661,16,64,2.0,4,8,1.4142135623730951,0,0,0,0,0,0,0,0
35.0,3675,0,6,5,14,13,82.0,2,2,4,3,4,6,547.0,0,0.0,0.0,547.0,3,1072,0,0,1072,1.0,0.0,2,0,2,1,2,5,7,0,0,2005.0,3,2.0,525.0,3,3,0,44,0,0,0,0,0,0,0,13,140000,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,2691.0,44,7241481.0,19486825371.0,51.87484939737175,36,216,2.449489742783178,1149184,1231925248,32.7414110874898,4,8,1.4142135623730951,4,8,1.4142135623730951,299209.0,163667323.0,23.388031127053,275625.0,144703125.0,22.9128784747792,1149184,1231925248,32.7414110874898,4.0,8.0,1.4142135623730951,9.0,27.0,1.7320508075688772,196,2744,3.7416573867739413,9,27,1.7320508075688772,169,2197,3.605551275463989,0,0,0.0,4,8,1.4142135623730951,0,0,0,0,0,0,0,0
69.05520046484602,12160,0,5,5,60,60,180.0,2,2,3,3,1,3,1000.0,0,0.0,188.0,1188.0,1,1188,0,0,1188,1.0,0.0,1,0,3,1,2,6,7,0,0,1959.0,2,2.0,531.0,3,3,0,0,0,0,0,0,0,3,0,9,142000,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,3564.0,0,12702096.0,45270270144.0,59.6992462263972,25,125,2.23606797749979,1411344,1676676672,34.46737587922817,4,8,1.4142135623730951,4,8,1.4142135623730951,1411344.0,1676676672.0,34.46737587922817,281961.0,149721291.0,23.043437243605826,1411344,1676676672,34.46737587922817,4.0,8.0,1.4142135623730951,4.0,8.0,1.4142135623730951,3600,216000,7.745966692414834,4,8,1.4142135623730951,3600,216000,7.745966692414834,0,0,0.0,1,1,1.0,0,0,0,0,0,0,0,0
69.05520046484602,15783,0,5,5,67,67,0.0,2,2,3,3,1,3,292.0,0,0.0,632.0,924.0,2,924,0,0,924,0.0,0.0,1,0,2,1,2,6,7,0,0,1952.0,1,1.0,420.0,3,3,0,324,0,0,0,0,0,3,400,12,112500,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,2772.0,324,7683984.0,21300003648.0,52.64978632435273,25,125,2.23606797749979,853776,788889024,30.397368307141328,4,8,1.4142135623730951,4,8,1.4142135623730951,853776.0,788889024.0,30.397368307141328,176400.0,74088000.0,20.493901531919196,853776,788889024,30.397368307141328,1.0,1.0,1.0,1.0,1.0,1.0,4489,300763,8.18535277187245,1,1,1.0,4489,300763,8.18535277187245,0,0,0.0,1,1,1.0,0,0,0,0,0,0,0,0
70.0,11606,2,5,5,50,50,192.0,2,2,4,3,3,3,650.0,0,0.0,390.0,1040.0,2,1040,1040,0,2080,0.0,1.0,1,2,5,1,1,9,7,2,3,1969.0,1,2.0,504.0,3,3,335,0,0,0,0,0,0,0,0,12,135000,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.5,5200.0,0,27040000.0,140608000000.0,72.11102550927978,25,125,2.23606797749979,4326400,8998912000,45.60701700396552,4,8,1.4142135623730951,1,1,1.0,1081600.0,1124864000.0,32.2490309931942,254016.0,128024064.0,22.44994432064365,1081600,1124864000,32.2490309931942,4.0,8.0,1.4142135623730951,6.25,15.625,1.5811388300841898,2500,125000,7.0710678118654755,1,1,1.0,2500,125000,7.0710678118654755,9,27,1.7320508075688772,1,1,1.0,0,0,0,0,0,0,0,0
